Species	p_count	row_count	PPV
A.thaliana	0.4066415924245489	4398403	Low
A.thaliana	0.3053654945836013	3302959	Medium
A.thaliana	0.2879929129918498	3115050	High
B.subtilis	0.4578945911531861	165419	Low
B.subtilis	0.2542158002546642	91838	Medium
B.subtilis	0.2878896085921497	104003	High
B.taurus	0.4141011069298944	4969528	Low
B.taurus	0.3224778264043277	3869979	Medium
B.taurus	0.26342106666577786	3161253	High
C.elegans	0.33857232249049657	2136153	Low
C.elegans	0.4398115098736848	2774901	Medium
C.elegans	0.22161616763581865	1398242	High
C.familiaris	0.5941686676744391	3085894	Low
C.familiaris	0.30612386358450816	1589895	Medium
C.familiaris	0.09970746874105274	517844	High
C.intestinalis	0.5985650450833843	360068	Low
C.intestinalis	0.31379997074234645	188767	Medium
C.intestinalis	0.08763498417426922	52717	High
D.melanogaster	0.4814423691343182	1468444	Low
D.melanogaster	0.3285145731621954	1002000	Medium
D.melanogaster	0.1900430577034864	579649	High
D.discoideum	0.7360734125855564	970568	Low
D.discoideum	0.1761606279506285	232281	Medium
D.discoideum	0.0877659594638151	115726	High
D.rerio	0.5775448421816766	3872962	Low
D.rerio	0.299357566396313	2007464	Medium
D.rerio	0.12309759142201047	825481	High
E.coli	0.5645243771147339	293643	Low
E.coli	0.2369097969855429	123231	Medium
E.coli	0.19856582589972316	103286	High
G.gallus	0.4430914958089864	2468554	Low
G.gallus	0.29817673229099767	1661204	Medium
G.gallus	0.2587317719000159	1441448	High
H.sapiens	0.5892619802140224	6008299	Low
H.sapiens	0.2956685711461164	3014729	Medium
H.sapiens	0.11506944863986115	1173284	High
M.jannaschii	0.5873545404397279	22360	Low
M.jannaschii	0.1821954871417689	6936	Medium
M.jannaschii	0.23044997241850323	8773	High
M.musculus	0.5369813017518176	6188557	Low
M.musculus	0.315823400767533	3639775	Medium
M.musculus	0.1471952974806494	1696384	High
M.tuberculosis	0.5603459540687988	68611	Low
M.tuberculosis	0.2700744830289765	33069	Medium
M.tuberculosis	0.1695795629022247	20764	High
O.sativa	0.5949857552368617	4860419	Low
O.sativa	0.2678281109471981	2187879	Medium
O.sativa	0.13718613381594025	1120669	High
P.falciparum	0.7186716120318162	368731	Low
P.falciparum	0.16933262908007243	86880	Medium
P.falciparum	0.11199575888811145	57462	High
R.norvegicus	0.5196262117638588	5398444	Low
R.norvegicus	0.314286880344007	3265155	Medium
R.norvegicus	0.16608690789213415	1725492	High
S.cerevisiae	0.639287819988208	871761	Low
S.cerevisiae	0.2509063949241884	342147	Medium
S.cerevisiae	0.10980578508760352	149736	High
S.pombe	0.4890910182794159	317625	Low
S.pombe	0.36038212617739857	234039	Medium
S.pombe	0.1505268555431855	97755	High
S.scrofa	0.5235140033377365	2918923	Low
S.scrofa	0.3263246249081943	1819467	Medium
S.scrofa	0.15016137175406927	837245	High
S.solfataricus	0.5714846368943469	34948	Low
S.solfataricus	0.2147073733095678	13130	Medium
S.solfataricus	0.21380798979608523	13075	High
